country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,4.58,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,6.2,7.1,,,,7.2,5.92,5.58,7.13,5.07,4.25,4.02,5.15,5.39,8.41,6.98
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,18.1,,,18.8,,19.8,20,17.8,,,15.4
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,12.8,15,14.2,15.1,12.8,14,,18.7,15.8,15.1,17.5,14.3,13.8,12.5,11.4,11.6,11,11.1,9.35,9.58,9.33,8.84,8.94,8.37,8.76,9.1,9.49,9.11,8.81,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,3.15,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,0.665,,1.22
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,17.9,,,23.2,,,19.1,,,,19.3,,,,32.5,,20.3,,14.7,17.3,16.7,,21.8,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,21.4,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,1.6,,,,,3.2,2.6,,,
Netherlands,,,,,,,,,,1.4,1.2,1.7,3,2.9,3.5,,5.2,,4.4,,4.4,,10.1,,14.6,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,6.53,,4.48
New Zealand,,,,,,,,,,,,0.3,0.6,0.2,0.1,0.4,0.4,0.5,1.6,1.8,2.6,3.3,3.6,5.5,4.7,3.8,3.67,4.05,5.85,7.46,8.38,11.3,11.4,10.5,8.78,6.44,6.32,6.85,7.8,7.3,6.26,5.48,5.13,4.44,3.56,3.51,3.56,3.4,4.08,6.1,6.22,6.25,6.52,5.63,5.04,4.92,4.76,4.26
